Price,Close,High,Low,Open,Volume
Ticker,ASML,ASML,ASML,ASML,ASML
Date,,,,,
1995-04-25,2.1513235569000244,2.2299105494463443,2.1513235569000244,2.2102639936726076,983957
1995-04-26,2.2299108505249023,2.2495581784027583,2.1513238473679066,2.1513238473679066,2085365
1995-04-27,2.2397348880767822,2.259381446405683,2.2102642811319595,2.2200875602964096,1733013
1995-04-28,2.1513235569000244,2.2299105494463443,2.1218537232394192,2.2299105494463443,817227
1995-05-01,2.141500234603882,2.170970067653358,2.1316769569207232,2.170970067653358,820512
1995-05-02,2.1513235569000244,2.1709701126737615,2.1316770011262873,2.1709701126737615,272683
1995-05-03,2.210264205932617,2.220087484762852,2.131677205839291,2.131677205839291,1546571
1995-05-04,2.347791910171509,2.4362028145115535,2.2200877322401404,2.2200877322401404,6742325
1995-05-05,2.3772621154785156,2.4263785067594275,2.347791511258568,2.347791511258568,1885781
1995-05-08,2.416555404663086,2.4460260110313548,2.3576149613780046,2.3674390098017324,1213109
1995-05-09,2.347791910171509,2.4165556390998195,2.3281453503210003,2.4165556390998195,2055797
1995-05-10,2.26920485496521,2.3183220230397033,2.2593815752406146,2.3183220230397033,3379787
1995-05-11,2.2200875282287598,2.288851250838139,2.2200875282287598,2.288851250838139,749877
1995-05-12,2.347791910171509,2.3969090792493115,2.2200877322401404,2.2200877322401404,1915349
1995-05-15,2.416555404663086,2.436202578168793,2.3576149613780046,2.377262288774003,1425835
1995-05-16,2.416555404663086,2.4263786836353565,2.3969088467185444,2.406732125690815,536331
1995-05-17,2.6621406078338623,2.691611215874386,2.4951431630360976,2.5246131555154205,5533323
1995-05-18,2.7407283782958984,2.8193161797781023,2.681788681361884,2.750552430569993,2813888
1995-05-19,2.6523168087005615,2.711257401093415,2.642493684415644,2.642493684415644,1774080
1995-05-22,2.613023042678833,2.691610805847553,2.5737297766555796,2.6719633264394047,607787
1995-05-23,2.711257219314575,2.711257219314575,2.563906363772836,2.6228469522139615,2675083
1995-05-24,2.7898449897766113,2.8586087248841,2.7603753012429797,2.7701984281606435,5276245
1995-05-25,2.70143461227417,2.848785512781328,2.70143461227417,2.8389620783767664,1796256
1995-05-26,2.6817879676818848,2.7309045226129705,2.6817879676818848,2.7112579621966604,509227
1995-05-30,2.5798699855804443,2.740727518646314,2.563906944401842,2.70143439968155,1418443
1995-05-31,2.534435987472534,2.5737297142132967,2.4656722734567458,2.534435987472534,2255381
1995-06-01,2.5688183307647705,2.5688183307647705,2.5147899079393126,2.5442597469027866,292395
1995-06-02,2.613023042678833,2.6326702143064282,2.5049660609714874,2.524612770928252,1369163
1995-06-05,2.642493724822998,2.6523168492581246,2.613023120395367,2.6228471681721817,768768
1995-06-06,2.5835533142089844,2.6326704787604505,2.5835533142089844,2.6130233051592797,487051
1995-06-07,2.6032001972198486,2.642494241546883,2.583553636727266,2.6228476810543,560149
1995-06-08,2.622847318649292,2.6523170014259594,2.622847318649292,2.6326704436479877,251328
1995-06-09,2.6523168087005615,2.6817874126775463,2.6228471280652506,2.6523168087005615,177408
1995-06-12,2.642493724822998,2.662140281473814,2.642493724822998,2.6523168492581246,154411
1995-06-13,2.6523168087005615,2.6817874126775463,2.642493684415644,2.671963365050955,285003
1995-06-14,2.613023042678833,2.642493646229949,2.613023042678833,2.642493646229949,523189
1995-06-15,2.622847318649292,2.681787607544368,2.5933767125308838,2.6130232703088554,925643
1995-06-16,2.622847318649292,2.6523170014259594,2.622847318649292,2.6523170014259594,175765
1995-06-19,2.6523168087005615,2.6621402407660373,2.6228471280652506,2.6228471280652506,1864427
1995-06-20,2.6621406078338623,2.6719637334732362,2.632670615354539,2.652317174413888,4287360
1995-06-21,2.642493724822998,2.691610885901445,2.642493724822998,2.691610885901445,1582709
1995-06-22,2.6032001972198486,2.6621408020394663,2.5933770708638684,2.6326708074102805,534688
1995-06-23,2.6032001972198486,2.6228476810543,2.5442599001808537,2.5933770708638684,2169141
1995-06-26,2.671964406967163,2.711258458332099,2.6228481508288746,2.6424947148403253,1710016
1995-06-27,2.622847318649292,2.691611040323644,2.6130232703088554,2.6719635592039315,758091
1995-06-28,2.5835533142089844,2.6031998722489864,2.5737300351889836,2.5933767471192777,358923
1995-06-29,2.7603745460510254,2.7898442265222494,2.6031996338785657,2.6031996338785657,882112
1995-06-30,2.81931471824646,2.917548418887616,2.7505510046854327,2.7505510046854327,1806933
1995-07-03,2.9077255725860596,2.9077255725860596,2.8782555795736866,2.9077255725860596,212725
