Price,Close,High,Low,Open,Volume
Ticker,V,V,V,V,V
Date,,,,,
2008-03-19,12.467565536499023,15.225876495901462,12.13656822137073,13.129560166755608,708486000
2008-03-20,14.199782371520996,14.343214856796795,12.688228527166395,12.886827223429874,198985200
2008-03-24,13.180313110351562,14.939011622069549,13.019227849832106,14.83750597984135,149566400
2008-03-25,13.95705795288086,14.177722900752494,13.200177114339557,13.367882946113184,87092000
2008-03-26,14.113731384277344,14.228478112314304,13.586342236733191,13.842313570168557,43111600
2008-03-27,13.882024765014648,14.285840976183284,13.824652278174074,14.133583384523597,39829600
2008-03-28,13.848932266235352,13.998984503635869,13.716533629361956,13.983538024059639,24675200
2008-03-31,13.760664939880371,14.007809421661083,13.692258509684597,13.813624050805577,22157200
2008-04-01,13.595169067382812,14.05194549234259,13.308304771972672,13.915133445319919,60410800
2008-04-02,13.751839637756348,13.751839637756348,13.3502294954818,13.619441004261216,43836400
2008-04-03,14.453553199768066,14.627878699927454,13.64150617402729,13.670192851188055,100868000
2008-04-04,14.228480339050293,14.41383813613958,14.067394143783316,14.321159237594937,36394400
2008-04-07,14.352046966552734,14.519752781440816,14.126967799603507,14.365286323359237,28301600
2008-04-08,15.02507209777832,15.058172169188563,14.301291501653719,14.32115221791569,53925600
2008-04-09,14.517547607421875,15.164095993623688,14.477827848136645,15.102310075522219,48324400
2008-04-10,14.588164329528809,14.724977245402261,14.367499313724156,14.599198253735228,22372000
2008-04-11,14.588164329528809,14.733802364518837,14.398392281253571,14.398392281253571,26421600
2008-04-14,14.493273735046387,14.837510512416218,14.460173656405455,14.71835123943283,28443600
2008-04-15,14.199782371520996,14.685246038336071,14.122550012846075,14.627872707517922,23888000
2008-04-16,14.594781875610352,14.773519973532121,14.246130797592391,14.246130797592391,25136800
2008-04-17,14.793374061584473,14.950045927583117,14.566089499874616,14.621255721009609,22459600
2008-04-18,15.225875854492188,15.545839238888247,14.828678419654919,15.007418107101357,104099600
2008-04-21,15.66058349609375,15.998200421836602,15.192773443201842,15.331793365711773,58848000
2008-04-22,15.508325576782227,15.976135670531857,15.446539687398907,15.870215800489579,47357600
2008-04-23,15.464201927185059,15.821678110956219,15.378142721200138,15.656179378902115,37319600
2008-04-24,15.954078674316406,16.10633636520232,15.455375349784978,15.711345850292135,38086800
2008-04-25,16.57193374633789,16.78818609030949,16.309343658670453,16.77053249416087,101460000
2008-04-28,16.688888549804688,17.05519315267784,16.527804088861085,16.880867650730483,132517200
2008-04-29,17.847379684448242,17.847379684448242,15.6672106902461,16.362305585746682,197308400
2008-04-30,18.414480209350586,18.714584526185448,17.889298496659137,17.962118297848285,147543600
2008-05-01,18.844783782958984,19.339072713436757,18.513786415636073,18.621911750903784,116395600
2008-05-02,18.260025024414062,19.308183560558675,17.873861353202887,19.261844122038134,136648800
2008-05-05,18.769760131835938,18.866853248690642,17.834141214052295,18.282090793748377,70377200
2008-05-06,19.31479835510254,19.451611198663027,18.7013502047725,18.860229201542207,75913200
2008-05-07,19.52884864807129,19.824538881649094,19.34349089273117,19.601668487757767,100464800
2008-05-08,19.26405143737793,19.8046799091132,18.963946960896465,19.74951366981205,92836400
2008-05-09,18.2843017578125,19.12503485634876,18.20927478350762,18.93526282453916,94312000
2008-05-12,18.07246208190918,18.641778130679445,17.233934489912347,18.45862579441348,147471600
2008-05-13,18.178380966186523,18.4255263569288,17.827524446052106,18.057016233839878,53249600
2008-05-14,18.14527702331543,18.613085573954383,17.973156972386676,18.3813884192152,51400400
2008-05-15,18.149690628051758,18.299742848914022,17.89813274065617,18.211476539546837,36688800
2008-05-16,18.176172256469727,18.282090488049263,17.931234031074634,18.251197530210238,34066800
2008-05-19,18.38581085205078,18.69915480116398,18.127633162297254,18.154111889323893,45473200
2008-05-20,18.257816314697266,18.50054740734266,18.074665697493653,18.28870927102269,40702000
2008-05-21,17.84075355529785,18.410069296902932,17.767933747607586,18.24457065226466,41831600
2008-05-22,17.059608459472656,17.785596419925827,16.805845088313088,17.77897674012725,85283600
2008-05-23,16.847768783569336,17.059606935905588,16.576351834826628,16.735229186423833,42196400
2008-05-27,17.375152587890625,17.419286575050837,16.408640996864836,16.973542564199786,62776400
2008-05-28,18.07686996459961,18.083489642878018,17.553895178128297,17.71718674864147,52996000
2008-05-29,18.811691284179688,19.186821111445138,18.31740215467289,18.4100810507916,100613200
2008-05-30,19.056625366210938,19.321422634872683,18.93525896934265,18.98159840718146,72016000
2008-06-02,18.992626190185547,19.18681067887868,18.668248546605636,19.02351913876083,36856000
2008-06-03,19.3214168548584,19.40747602560581,18.983799849074025,19.20005217783641,48411600
2008-06-04,18.862443923950195,19.440585115318832,18.8183099162051,19.215507568209716,40684400
2008-06-05,19.250808715820312,19.250808715820312,18.886711231486263,19.078690333581637,27059600
2008-06-06,18.45862579345703,18.974981035193878,18.43655963230882,18.955121995222544,41748000
2008-06-09,18.125417709350586,18.74548564081183,17.776766706401904,18.535854625016277,45240000
2008-06-10,17.721593856811523,18.286497026927535,17.567129132681693,17.719388420423403,36048400
2008-06-11,17.154489517211914,17.873857590389044,17.12359656470182,17.873857590389044,56996400
2008-06-12,17.556100845336914,17.823105201817977,17.333230483856706,17.421495106778888,44605600
2008-06-13,17.990812301635742,18.052598215513328,17.68629529029341,17.710568568393875,30689200
2008-06-16,18.374765396118164,18.425519063637694,17.895922969412048,17.979776708484348,34384000
2008-06-17,18.683704376220703,18.7521116682099,18.465246506612008,18.557925398744146,33277600
2008-06-18,18.504959106445312,18.690316818931556,18.41228025020219,18.474066154364273,33724000
2008-06-19,18.595428466796875,18.624115978307213,18.010667888862546,18.42110469526815,36925200
2008-06-20,18.440969467163086,18.646187934254463,18.260024278811326,18.308570836290567,42546800
2008-06-23,17.88709831237793,18.613086118895104,17.878271513338053,18.50275365620629,30141200
2008-06-24,18.24016571044922,18.301951627541303,17.324405824445886,17.66643548935992,49891200
2008-06-25,18.10776138305664,18.628530688290905,18.063629075917305,18.394626430081136,50711600
2008-06-26,17.454591751098633,17.816482021270126,17.21627327555952,17.78558907261203,76562800
2008-06-27,18.226926803588867,18.28650729029243,17.33323465489696,17.38840089926832,176022800
2008-06-30,17.942262649536133,18.27987968035491,17.719392310582055,18.096729091117133,49301200
2008-07-01,17.964332580566406,17.964332580566406,17.476661608606076,17.573754715572267,44921600
2008-07-02,17.52520751953125,18.18278972103251,17.498728806631156,18.072457261176172,33804000
