Price,Close,High,Low,Open,Volume
Ticker,FCX,FCX,FCX,FCX,FCX
Date,,,,,
1995-07-10,6.566600799560547,6.566600799560547,6.332079342433385,6.332079342433385,5438000
1995-07-11,6.700614929199219,6.734118003845214,6.633608779907226,6.734118003845214,4907000
1995-07-12,7.002139091491699,7.002139091491699,6.667108512951426,6.700611570805454,1055800
1995-07-13,7.002139091491699,7.035642149345726,6.935132975783644,6.968636033637672,1373600
1995-07-14,6.968638896942139,7.002141968562053,6.935135825322225,6.968638896942139,985600
1995-07-17,6.9351372718811035,6.968640350489225,6.901634193272982,6.968640350489225,947600
1995-07-18,6.76762056350708,6.935135923989929,6.734117491410511,6.935135923989929,727400
1995-07-19,6.365583896636963,6.734117701179104,6.26507467721638,6.734117701179104,558200
1995-07-20,6.332080841064453,6.332080841064453,6.298577767831308,6.298577767831308,464600
1995-07-21,6.466092109680176,6.533098245531784,6.365582905902764,6.365582905902764,721200
1995-07-24,6.466092109680176,6.566601313457588,6.466092109680176,6.466092109680176,509000
1995-07-25,6.499594688415527,6.633606950032343,6.466091623011324,6.499594688415528,847000
1995-07-26,6.734117031097412,6.734117031097412,6.566601682065139,6.566601682065139,1584800
1995-07-27,6.901634693145752,6.901634693145752,6.700616206937624,6.700616206937624,2082600
1995-07-28,7.337174415588379,7.337174415588379,6.801125143216625,6.901634381786329,14640800
1995-07-31,7.236664772033691,7.303670927330299,7.102652461440474,7.303670927330299,2544600
1995-08-01,7.136152744293213,7.203158873347609,7.102649679766015,7.203158873347609,1956000
1995-08-02,6.801120758056641,7.1361513372712535,6.76761770013518,7.1361513372712535,2307600
1995-08-03,6.968638896942139,6.968638896942139,6.73411739560274,6.73411739560274,1762800
1995-08-04,6.801120758056641,6.935132989742486,6.700611584292257,6.901629931821025,903800
1995-08-07,6.734117031097412,6.7676201009038675,6.667110891484503,6.7676201009038675,837000
1995-08-08,6.667109966278076,6.734116096592429,6.667109966278076,6.700613031435252,729000
1995-08-09,6.566600799560547,6.667109995472188,6.533097734256667,6.667109995472188,586600
1995-08-10,6.633605480194092,6.734114654136426,6.566599364232535,6.566599364232535,1319400
1995-08-11,6.700614929199219,6.76762107849121,6.633608779907226,6.633608779907226,1152000
1995-08-14,6.566600799560547,6.700613060776068,6.499594668952787,6.700613060776068,379800
1995-08-15,6.6001081466674805,6.633611233706402,6.566605059628559,6.566605059628559,349600
1995-08-16,6.633605480194092,6.700611596155648,6.600102422213313,6.66710853817487,440200
1995-08-17,6.734117031097412,6.734117031097412,6.600104751871593,6.633607821678048,410600
1995-08-18,6.566600799560547,6.734116126079949,6.533097734256667,6.734116126079949,598800
1995-08-21,6.499594688415527,6.667110015436546,6.499594688415528,6.6001038846281395,440400
1995-08-22,6.432590961456299,6.566603273153305,6.365584805607796,6.5331001952290535,444200
1995-08-23,6.332080841064453,6.466093133997034,6.1980685481318725,6.466093133997034,193200
1995-08-24,6.231572151184082,6.3320813794289865,6.198069075102447,6.3320813794289865,1284000
1995-08-25,6.332080841064453,6.399086987530744,6.131062401665582,6.231571621365017,733400
1995-08-28,6.231572151184082,6.3320813794289865,6.164565999020812,6.3320813794289865,447600
1995-08-29,6.131065368652344,6.231574636990906,6.064059189759968,6.231574636990906,368600
1995-08-30,6.198070049285889,6.298579293328363,6.064057723895924,6.064057723895924,398000
1995-08-31,6.265074253082275,6.265074253082275,6.19806811133808,6.231571182210178,417400
1995-09-01,6.29857873916626,6.33208181756608,6.231572582366619,6.231572582366619,594600
1995-09-05,6.332080841064453,6.399086987530744,6.265074694598162,6.3655839142975985,487600
1995-09-06,6.3990864753723145,6.432589545924002,6.33208033426894,6.365583404820627,476400
1995-09-07,6.231572151184082,6.365584455510621,6.198069075102447,6.365584455510621,618000
1995-09-08,6.231572151184082,6.265075227265717,6.198069075102447,6.231572151184082,1015600
1995-09-11,6.365583896636963,6.432590042917353,6.19806853093599,6.231571604076185,279000
1995-09-12,6.432590961456299,6.432590961456299,6.265075571835041,6.365584805607796,290000
1995-09-13,6.533094882965088,6.667107085692577,6.533094882965088,6.533094882965088,325000
1995-09-14,6.566600799560547,6.566600799560547,6.4660916036489064,6.533097734256667,491800
1995-09-15,6.633605480194092,6.66710853817487,6.566599364232535,6.633605480194092,1108600
1995-09-18,6.667109966278076,6.667109966278076,6.600103835963724,6.6336069011209,609400
1995-09-19,6.667109966278076,6.667109966278076,6.600103835963724,6.6336069011209,581600
1995-09-20,6.633605480194092,6.66710853817487,6.600102422213313,6.633605480194092,597600
1995-09-21,6.633605480194092,6.66710853817487,6.600102422213313,6.633605480194092,437400
1995-09-22,6.6001081466674805,6.633611233706402,6.533101972589638,6.566605059628559,832200
1995-09-25,6.633605480194092,6.66710853817487,6.566599364232535,6.633605480194092,436400
1995-09-26,6.6001081466674805,6.667114320745323,6.566605059628559,6.6001081466674805,571000
1995-09-27,6.6001081466674805,6.734120494823165,6.6001081466674805,6.633611233706402,893200
1995-09-28,6.801120758056641,6.801120758056641,6.633605468449335,6.633605468449335,728200
1995-09-29,6.868129253387451,6.968638461973609,6.767620044801293,6.801123114330013,300800
1995-10-02,6.901634693145752,6.901634693145752,6.834628531076376,6.901634693145752,292800
1995-10-03,6.868129253387451,6.9016323229161705,6.767620044801293,6.868129253387451,197600
1995-10-04,6.700614929199219,6.868130302429199,6.667111854553222,6.868130302429199,232000
1995-10-05,6.667109966278076,6.7676191617496055,6.6336069011209,6.7676191617496055,397000
1995-10-06,6.700614929199219,6.76762107849121,6.633608779907226,6.667111854553222,124400
1995-10-09,6.700614929199219,6.700614929199218,6.60010570526123,6.667111854553222,148600
1995-10-10,6.734117031097412,6.7676201009038675,6.700613961290958,6.734117031097412,407600
1995-10-11,6.734117031097412,6.7676201009038675,6.667110891484503,6.7676201009038675,251400
1995-10-12,6.8287739753723145,6.8287739753723145,6.727356540094507,6.761162351853776,462800
1995-10-13,6.9301910400390625,7.031608469893293,6.828773610184832,6.828773610184832,666400
1995-10-16,6.8287739753723145,6.96399722240939,6.794968163613046,6.96399722240939,304400
1995-10-17,6.7611613273620605,6.82877294063568,6.693549714088439,6.82877294063568,358600
1995-10-18,6.862577438354492,6.8963832385434305,6.761160037787676,6.761160037787676,860000
1995-10-19,6.862577438354492,6.8963832385434305,6.794965837976615,6.862577438354491,437600
1995-10-20,6.6935505867004395,6.828773830876206,6.6935505867004395,6.828773830876206,459600
1995-10-23,6.625938415527344,6.727355840254803,6.592132607284857,6.6935500320123165,109800
1995-10-24,6.659748554229736,6.659748554229736,6.524525233331671,6.659748554229736,294200
1995-10-25,6.456911087036133,6.659745990293812,6.456911087036133,6.6259401730841985,149800
1995-10-26,6.355493545532227,6.4907168124584445,6.321687728800672,6.45691099572689,187600
1995-10-27,6.423104286193848,6.423104286193848,6.220269413998253,6.32168685009605,491200
1995-10-30,6.389297962188721,6.423103771512471,6.355492152864971,6.423103771512471,131600
1995-10-31,6.152658462524414,6.3554933568933505,6.152658462524414,6.3554933568933505,267000
1995-11-01,6.355493545532227,6.389299362263781,6.118852828411345,6.118852828411345,1125400
1995-11-02,6.254075527191162,6.321687154512148,6.186463899870176,6.321687154512148,1404800
1995-11-03,6.2878804206848145,6.321686229398174,6.220268803258096,6.254074611971456,184600
1995-11-06,6.2878804206848145,6.321686229398174,6.220268803258096,6.254074611971456,426200
1995-11-07,6.389297962188721,6.423103771512471,6.321686343541221,6.355492152864971,336000
1995-11-08,6.423104286193848,6.423104286193848,6.35549266212865,6.35549266212865,288800
1995-11-09,6.456911087036133,6.456911087036133,6.355493635407293,6.423105269826519,408400
1995-11-10,6.6935505867004395,6.6935505867004395,6.558327342524673,6.625938964612556,798200
1995-11-13,6.7611613273620605,6.79496713399887,6.659743907451629,6.693549714088439,720000
1995-11-14,6.8287739753723145,6.8287739753723145,6.761162351853776,6.794968163613046,400800
1995-11-15,6.8287739753723145,6.8287739753723145,6.727356540094507,6.8287739753723145,497400
1995-11-16,6.862577438354492,6.862577438354491,6.794965837976615,6.794965837976615,381600
1995-11-17,6.7611613273620605,6.862578747272491,6.72735552072525,6.862578747272491,260600
1995-11-20,6.862577438354492,6.8963832385434305,6.727354237598738,6.761160037787676,758600
1995-11-21,6.9301910400390625,6.9301910400390625,6.8625794201362424,6.9301910400390625,340200
1995-11-22,7.099222660064697,7.166834304446265,6.896387726919991,6.896387726919991,755200
1995-11-24,7.166835308074951,7.268252788849596,7.16683530807495,7.16683530807495,181000
1995-11-27,7.3358588218688965,7.3358588218688965,7.133024015734273,7.200635617779148,1088000
1995-11-28,7.3358588218688965,7.437276224936209,7.234441418801585,7.3358588218688965,790800
1995-11-29,7.268247604370117,7.335859209992164,7.234441801559093,7.302053407181141,594000
1995-11-30,7.3358588218688965,7.3358588218688965,7.268247219824022,7.268247219824022,437800
1995-12-01,7.437281131744385,7.437281131744385,7.234446191787719,7.302057838439941,166000
1995-12-04,7.640114784240723,7.842949690017025,7.43727987846442,7.43727987846442,577000
1995-12-05,7.978171348571777,8.011977159370812,7.842948105375646,7.842948105375646,712200
1995-12-06,8.079590797424316,8.316231532076912,8.045784978188232,8.045784978188232,1098600
1995-12-07,7.910560131072998,8.079589193702763,7.876754318547045,8.04578338117681,708400
1995-12-08,7.876752853393555,7.944364465869036,7.809141240918073,7.910558659631295,863600
1995-12-11,7.842947483062744,7.9105590992960435,7.842947483062744,7.876753291179394,466200
1995-12-12,8.011978149414062,8.011978149414062,7.842949074531909,7.842949074531909,435200
1995-12-13,8.113396644592285,8.18100828329722,7.944367547829946,7.978173367182413,614600
1995-12-14,8.079590797424316,8.181008255132571,8.011979158952146,8.1133966166604,573600
1995-12-15,7.978171348571777,8.079588780968876,7.944365537772745,8.079588780968876,1558000
1995-12-18,7.809140205383301,7.944363412402925,7.741528601873489,7.910557610648019,241600
1995-12-19,7.572504043579102,7.707727330071586,7.471086578709739,7.640115686825344,718200
1995-12-20,7.369668006896973,7.606308722714766,7.369668006896973,7.572502906169366,673800
1995-12-21,7.403475284576416,7.403475284576416,7.302057814924685,7.302057814924685,742400
1995-12-22,7.538693904876709,7.60630550940475,7.369664893556603,7.369664893556603,797400
1995-12-26,7.538693904876709,7.60630550940475,7.5048881026126875,7.57249970714073,244400
1995-12-27,7.437281131744385,7.504892778396606,7.403475308418273,7.504892778396606,205600
1995-12-28,7.403475284576416,7.504892754228147,7.369669461359172,7.369669461359172,315000
1995-12-29,7.60630464553833,7.673916242387559,7.437275653415256,7.437275653415256,473800
1996-01-02,7.538693904876709,7.57249970714073,7.471082300348666,7.57249970714073,491400
1996-01-03,7.504892826080322,7.606310296703029,7.504892826080321,7.572504473162127,842000
1996-01-04,7.471085071563721,7.5386967011706325,7.403473441956809,7.504890886367177,1186600
1996-01-05,7.538693904876709,7.538693904876708,7.437276498084645,7.437276498084645,684600
1996-01-08,7.538693904876709,7.57249970714073,7.5048881026126875,7.538693904876708,510800
1996-01-09,7.538693904876709,7.57249970714073,7.5048881026126875,7.538693904876708,605200
1996-01-10,7.741534233093262,7.842951712129419,7.504893448675564,7.504893448675564,1014200
1996-01-11,7.636451244354248,7.806150160895453,7.6025114610460065,7.7722103775872124,1512800
1996-01-12,7.670392990112305,7.704332782103952,7.60251340612901,7.670392990112305,354000
1996-01-15,7.5006937980651855,7.704332543714013,7.466754007123714,7.670392752772543,941200
1996-01-16,7.7043328285217285,7.7043328285217285,7.534633867541074,7.534633867541074,246400
1996-01-17,7.7043328285217285,7.7043328285217285,7.636453244129466,7.7043328285217285,723600
1996-01-18,7.602511405944824,7.704330755131586,7.602511405944825,7.670390972069332,362000
1996-01-19,7.7043328285217285,7.7043328285217285,7.602513451933335,7.602513451933335,450800
