Date,days_delta,Close,High,Low,Open,Volume
1997-10-09,0,3.139038324356079,3.2577413538188895,2.802712679705578,2.802712679705578,10201979
1997-10-10,1,3.2841196060180664,3.495147661804668,3.1588220159651317,3.48195806805669,10669148
1997-10-13,3,3.211578845977783,3.290714032523787,3.1983894904177848,3.290714032523787,3044363
1997-10-14,1,3.0796871185302734,3.191795362387339,2.993956881204114,3.1852005648751796,2549907
1997-10-15,1,2.993955612182617,3.0005501701960537,2.881847415843861,2.888441500450405,3167153
1997-10-16,1,2.9016318321228027,2.993956378037907,2.888442239315134,2.993956378037907,1770821
1997-10-17,1,2.6510367393493652,2.776334571643877,2.644442178887426,2.769739774478404,3287121
1997-10-20,3,2.321305990219116,2.374062713218358,2.2091972733230327,2.2157920708135403,11499985
1997-10-21,1,2.6510367393493652,2.6510367393493652,2.413630432387753,2.426819316608097,6924737
1997-10-22,1,2.3410897254943848,2.4466036472848343,2.334494927854818,2.440009086348819,4458573
1997-10-23,1,2.2026021480560303,2.2685484562226,2.1102776006670454,2.2685484562226,12494072
1997-10-24,1,2.08389949798584,2.268548604862384,2.031142305973722,2.2553597210905254,9498638
1997-10-27,3,1.8069243431091309,2.0311412911439564,1.8003296678146077,2.0311412911439564,4905042
1997-10-28,1,2.2157914638519287,2.2157914638519287,1.648654184048506,1.6618436570648167,10417921
1997-10-29,1,2.0113582611083984,2.090493679743982,2.004763465361154,2.031141938239682,7548100
1997-10-30,1,1.9586021900177,1.9783858747884573,1.8926559823562392,1.89925018889113,2797370
1997-10-31,1,2.08389949798584,2.1300614196496865,2.024547982439556,2.031142305973722,3611270
1997-11-03,3,2.3938467502593994,2.4268197957831497,2.268549129928433,2.268549129928433,6205871
1997-11-04,1,2.3938467502593994,2.4202257074262774,2.3279006592118994,2.374063064967298,3145042
1997-11-05,1,2.585089921951294,2.6048735976787047,2.440008213062814,2.440008213062814,3979642
1997-11-06,1,2.5719006061553955,2.6906033723868337,2.5455221347583636,2.6774144917435225,3649848
1997-11-07,1,2.5125489234924316,2.5257378031846107,2.3740617811175806,2.387251134216665,4470805
1997-11-10,3,2.525737762451172,2.6246570806369163,2.5191434410631577,2.6114679644539898,2435114
1997-11-11,1,2.4729807376861572,2.5191431116977983,2.4663859437534814,2.4795752949154153,2194707
1997-11-12,1,2.3344945907592773,2.393846104020298,2.327900030775501,2.393846104020298,3905309
1997-11-13,1,2.314710855484009,2.4466032355247584,2.2817378196496994,2.3608730109706375,2482160
1997-11-14,1,2.314710855484009,2.3938460468049474,2.2817378196496994,2.3608730109706375,2205999
1997-11-17,3,2.479576349258423,2.479576349258423,2.426819158881171,2.472981789225086,3290415
1997-11-18,1,2.321305990219116,2.400441193069752,2.308116631941646,2.400441193069752,2240813
1997-11-19,1,2.255359649658203,2.2949267731276515,2.228980699432336,2.2949267731276515,1442908
1997-11-20,1,2.2026021480560303,2.2421699802966746,2.1960075882504264,2.2091969445651447,2578134
1997-11-21,1,2.314710855484009,2.314710855484009,2.2157917479810805,2.2157917479810805,4223342
1997-11-24,3,2.261953353881836,2.2685481494992885,2.202601850249112,2.202601850249112,2254927
1997-11-25,1,2.321305990219116,2.354279030857472,2.2751433545997446,2.2751433545997446,1083946
1997-11-26,1,2.281737804412842,2.3015214837592106,2.2553595652843503,2.294926687273578,1136637
1997-11-28,2,2.321305990219116,2.321305990219116,2.314711192728608,2.321305990219116,1083475
1997-12-01,3,2.2157914638519287,2.2157914638519287,2.182818195542243,2.2157914638519287,2365485
1997-12-02,1,2.2157914638519287,2.2553592911421587,2.209196668167903,2.2355751407935625,2203176
1997-12-03,1,2.228980302810669,2.255359248342703,2.196007271830186,2.255359248342703,2783727
1997-12-04,1,2.321305990219116,2.354279030857472,2.321305990219116,2.3344948750894945,2721625
1997-12-05,1,2.327899694442749,2.3476838449427166,2.308116017349747,2.3213053721152312,1796226
1997-12-08,3,2.4268195629119873,2.47957676207256,2.413630677353071,2.413630677353071,2020166
1997-12-09,1,2.321305990219116,2.374062713218358,2.321305990219116,2.374062713218358,1487132
1997-12-10,1,2.222385883331299,2.3542782381805942,2.2157913247647008,2.3542782381805942,1393980
1997-12-11,1,2.123467206954956,2.130061293394746,2.0904939343138635,2.123467206954956,3128576
1997-12-12,1,2.1036832332611084,2.149845629529299,2.1036832332611084,2.1168725907821053,2271863
1997-12-15,3,1.9256287813186648,2.0904940917764994,1.9256287813186648,2.0904940917764994,5162855
1997-12-16,1,1.9849804639816284,2.017953507129011,1.912439579694535,1.9256290573274084,3736884
1997-12-17,1,1.9190336465835571,2.0113583036092644,1.912438969048706,1.9915746260599432,3310174
1997-12-18,1,1.846493124961853,1.9058446419293784,1.846493124961853,1.9058446419293784,1023256
1997-12-19,1,1.9586021900177,1.984980554730497,1.8201150947527391,1.8333039812296692,3056124
1997-12-22,3,1.9388171434402464,1.9783849682582488,1.9190334677347116,1.945411820360491,1266485
1997-12-23,1,1.87946617603302,1.9058445344800317,1.8728713793056884,1.9058445344800317,813430
1997-12-24,1,1.872871994972229,1.905845160985794,1.8662773144287967,1.8794667938674592,742860
1997-12-26,2,1.8992494344711304,1.905844230145372,1.8728710802363453,1.8728710802363453,292628
1997-12-29,3,1.912438988685608,1.9388173440406329,1.9058443110830423,1.9256284622424835,951275
1997-12-30,1,1.978386163711548,1.978386163711548,1.9256294265813716,1.9256294265813716,1465491
1997-12-31,1,1.9190336465835571,1.9783851526384968,1.8992494956272592,1.9783851526384968,917402
1998-01-02,2,1.9454123973846436,1.9454123973846436,1.9058446791822876,1.9124393580585644,568789
1998-01-05,3,1.9388171434402464,1.9586012925527136,1.9058441138942224,1.945411820360491,1749650
1998-01-06,1,1.8992494344711304,1.9190335847903752,1.8926552305555904,1.9190335847903752,1504069
1998-01-07,1,1.7146005630493164,1.8596824159001353,1.7146005630493164,1.8596824159001353,1337054
1998-01-08,1,1.6354649066925049,1.6948168871369045,1.6354649066925049,1.688222091141142,4584186
1998-01-09,1,1.5365455150604248,1.642059525095824,1.5299513110612926,1.6354648476897249,5332692
1998-01-12,3,1.5893030166625977,1.6090866963240524,1.411248124433152,1.5035726729638157,3469190
1998-01-13,1,1.7739522457122805,1.7871417215231975,1.648654533367993,1.6552493304493343,2123668
1998-01-14,1,1.8069243431091309,1.8794652979420712,1.7607623261576912,1.8794652979420712,2803486
1998-01-15,1,1.7805466651916504,1.8069250212139305,1.7541683091693707,1.7937361390821611,1833863
1998-01-16,1,1.839898467063904,1.853087824708109,1.833303669890034,1.853087824708109,2319380
1998-01-20,4,1.9454123973846436,1.9717908761862144,1.886060997608762,1.886060997608762,3270655
1998-01-21,1,1.9849804639816284,1.991575261973956,1.9322232635608263,1.938817943201372,2871233
1998-01-22,1,2.037736654281616,2.044331450536959,1.9520069067006744,1.984979941163383,1798578
1998-01-23,1,2.08389949798584,2.097088381757698,2.044331663152633,2.0904940582235323,1195445
1998-01-26,3,2.2421698570251465,2.2421698570251465,2.182818348630758,2.2289805014355615,3288062
1998-01-27,1,2.308116912841797,2.321306272724425,2.2487653851289067,2.255360183422008,2171655
1998-01-28,1,2.4268195629119873,2.4268195629119873,2.321306111405075,2.321306111405075,3175151
1998-01-29,1,2.321305990219116,2.4268194362176,2.321305990219116,2.4268194362176,3233489
1998-01-30,1,2.5059542655944824,2.5191436194146437,2.3410888814149926,2.347683676676806,4949265
1998-02-02,3,2.585089921951294,2.611468156254509,2.5389273018102685,2.5455220970895387,2354194
1998-02-03,1,2.7565486431121826,2.763143199330764,2.657629353019926,2.690602370816218,5174617
1998-02-04,1,2.6048731803894043,2.716981841736082,2.571900156089054,2.716981841736082,2420059
1998-02-05,1,2.6246578693389893,2.743361134172559,2.6180635459694,2.7169828938801213,1634387
1998-02-06,1,2.611469030380249,2.624658151946594,2.5389281516547144,2.6048744695970765,1084886
1998-02-09,3,2.519144058227539,2.62465772365106,2.5125494985204764,2.611468604236935,1854563
1998-02-10,1,2.5982794761657715,2.631252514298577,2.5521175541647825,2.5587116410435824,1728950
1998-02-11,1,2.677414894104004,2.684009690471927,2.6246577066781485,2.684009690471927,3018958
1998-02-12,1,2.7961173057556152,2.7961173057556152,2.7235764489983167,2.736766039977424,3442374
1998-02-13,1,2.7301716804504395,2.756550156510432,2.716982797475711,2.756550156510432,1759530
1998-02-17,4,2.8290903568267822,2.862063384940074,2.815901240262848,2.8356849151087493,2100145
1998-02-18,1,2.8752527236938477,2.8818475186459818,2.829090342546183,2.8356849007948624,1625918
1998-02-19,1,2.941199779510498,2.941199779510498,2.914821302967307,2.941199779510498,1120642
1998-02-20,1,2.8620641231536865,2.954388673024911,2.8554693264672646,2.954388673024911,1716718
1998-02-23,3,2.7961173057556152,2.8620636037268343,2.78292842488693,2.848874722858149,1026549
1998-02-24,1,2.8554697036743164,2.8752538596435495,2.8027129801384034,2.82249666270054,2524972
1998-02-25,1,3.0664966106414795,3.10606443406707,2.8950364369696846,2.901631232009588,3695012
1998-02-26,1,3.139038324356079,3.2049843992346356,3.1258489673582543,3.2049843992346356,1549703
1998-02-27,1,3.0269298553466797,3.099470732755889,2.9939568153256,3.099470732755889,980914
1998-03-02,3,2.974172830581665,3.03352434391868,2.974172830581665,3.026929547222943,777204
1998-03-03,1,2.947793960571289,2.980767229539646,2.8884419817468525,2.941199401459012,2350431
1998-03-04,1,2.8027119636535645,2.848874583000315,2.7961171684877644,2.8224956390405773,1772232
1998-03-05,1,2.545522689819336,2.6378472414889345,2.538927893004455,2.6312524446740535,2942272
1998-03-06,1,2.782928466796875,2.829090615698093,2.6444415466862656,2.6444415466862656,2974264
1998-03-09,3,2.703793525695801,2.7367668022168052,2.637847446060872,2.6642259252555514,866592
1998-03-10,1,2.7631447315216064,2.7631447315216064,2.7169828123942965,2.7169828123942965,1178038
1998-03-11,1,2.8752527236938477,2.90163119339202,2.8686581654451686,2.8752527236938477,1091002
1998-03-12,1,2.8356857299804688,2.875253564449523,2.7961178955114145,2.875253564449523,471874
