Date,days_delta,Close,High,Low,Open,Volume
2007-04-19,0,43.865440368652344,44.20163694209554,39.22274832095889,40.18330603340242,15862400
2007-04-20,1,45.70651626586914,46.106748468034475,43.38517132542784,43.86544874661449,3054700
2007-04-23,3,46.02670669555664,46.33088404696774,45.290280854121946,45.786567966981394,1876400
2007-04-24,1,46.74711990356445,47.06730381584523,45.64247823040211,45.64247823040211,1532950
2007-04-25,1,45.80257797241211,47.62763598775457,45.6424844676297,47.30744897818975,1225350
2007-04-26,1,45.14619445800781,46.89120713590327,43.70535606082482,46.82716851668206,639700
2007-04-27,1,45.46638488769531,45.6264784050858,44.26568808756148,45.14620090644421,178150
2007-04-30,3,44.90604782104492,46.362892661562434,44.8260026092258,45.59444763539412,182500
2007-05-01,1,44.66591262817383,45.626470512834096,44.50581913847556,44.8260061178721,459200
2007-05-02,1,45.0821533203125,45.81858213256937,44.44178243152127,44.50581799363576,428500
2007-05-03,1,45.866607666015625,45.99468184272743,44.922059467692605,45.066143298184535,182600
2007-05-04,1,46.10675048828125,46.58703098404159,45.482389202675265,46.05872457617587,139850
2007-05-07,3,46.53899765014648,46.58702661127326,45.62646876344232,45.94665573056237,293300
2007-05-08,1,46.90721130371094,47.06730478992915,46.42693389858555,46.715101563072494,259600
2007-05-09,1,49.3886604309082,50.06105073536657,46.89121203728987,47.179376693317955,594800
2007-05-10,1,48.68424606323242,49.38865561191704,47.59561395713696,49.38865561191704,568650
2007-05-11,1,49.48470306396485,50.60535431176832,49.1485095217412,49.388648202405086,646250
2007-05-14,3,51.10164642333984,51.229720602705434,49.62879183387089,50.42925621828816,390950
2007-05-15,1,54.76777648925781,55.55223434145961,53.93529272406418,54.43158288419667,1224750
2007-05-16,1,55.007904052734375,55.85639420063169,54.67171053455517,55.632265188512214,239550
2007-05-17,1,58.273807525634766,58.72206561047463,55.13598261058055,55.1519953176439,592000
2007-05-18,1,58.56197738647461,59.63459673187455,57.23320357488632,58.433900153380435,905150
2007-05-21,3,55.29607772827149,59.0582576600011,53.69514905824897,58.722064104990345,708900
2007-05-22,1,53.967315673828125,56.032515570551304,50.97358012332105,55.7123285458791,1950650
2007-05-23,1,53.759185791015625,55.82437906176946,53.63110857050419,54.83180503103787,620950
2007-05-24,1,54.31951522827149,55.23204416504226,53.95130233335159,54.07937346299127,600050
2007-05-25,1,56.04850769042969,56.35268803344355,54.191430755679136,54.31950797527612,381600
2007-05-29,4,54.27149200439453,57.85756931063374,53.71116322669153,57.85756931063374,443000
