Date,days_delta,Close,High,Low,Open,Volume
1995-07-10,0,6.566603660583496,6.566603660583496,6.332082101276943,6.332082101276943,5438000
1995-07-11,1,6.700613975524902,6.7341170454025265,6.633607835769653,6.7341170454025265,4907000
1995-07-12,1,7.00214147567749,7.002141475677491,6.667110783061343,6.700613852322958,1055800
1995-07-13,1,7.00214147567749,7.035644544939106,6.935135337154262,6.968638406415876,1373600
1995-07-14,1,6.968637466430664,7.0021405311731195,6.9351344016882095,6.968637466430664,985600
1995-07-17,3,6.935134410858154,6.9686374756449085,6.9016313460714,6.9686374756449085,947600
1995-07-18,1,6.767619609832764,6.9351349467098125,6.734116542457354,6.9351349467098125,727400
1995-07-19,1,6.365580081939697,6.734113665630942,6.265070922751175,6.734113665630942,558200
1995-07-20,1,6.332080364227295,6.332080364227295,6.298577293517098,6.298577293517098,464600
1995-07-21,1,6.466089725494385,6.533095836639404,6.3655805587768555,6.3655805587768555,721200
1995-07-24,3,6.466089725494385,6.566598892211914,6.466089725494385,6.466089725494385,509000
1995-07-25,1,6.499597549438477,6.633609870045456,6.466094469286732,6.499597549438477,847000
1995-07-26,1,6.734116554260254,6.734116554260254,6.566601217089601,6.566601217089601,1584800
1995-07-27,1,6.901630401611328,6.901630401611328,6.700612040399348,6.700612040399348,2082600
1995-07-28,1,7.337176322937012,7.337176322937012,6.8011269112155865,6.901636175913353,14640800
1995-07-31,3,7.236661434173584,7.30366755856408,7.1026491853925915,7.30366755856408,2544600
1995-08-01,1,7.1361565589904785,7.203162723863628,7.102653476553903,7.203162723863628,1956000
1995-08-02,1,6.80112361907959,7.136154339231294,6.7676205470644195,7.136154339231294,2307600
1995-08-03,1,6.968637466430664,6.968637466430664,6.7341160132334785,6.7341160132334785,1762800
1995-08-04,1,6.80112361907959,6.935135907140272,6.700614403034079,6.901632835125101,903800
1995-08-07,3,6.734116554260254,6.767619621694385,6.667110419391993,6.767619621694385,837000
1995-08-08,1,6.667109966278076,6.734116096592429,6.667109966278076,6.700613031435252,729000
1995-08-09,1,6.566603660583496,6.6671129002863045,6.53310058068256,6.6671129002863045,586600
1995-08-10,1,6.63360595703125,6.734115138198391,6.5665998362531575,6.5665998362531575,1319400
1995-08-11,1,6.700613975524902,6.767620115280152,6.633607835769653,6.633607835769653,1152000
1995-08-14,3,6.566603660583496,6.700615980187241,6.499597500781624,6.700615980187241,379800
1995-08-15,1,6.600105285644531,6.633608358160493,6.5666022131285695,6.5666022131285695,349600
1995-08-16,1,6.63360595703125,6.700612077809344,6.600102896642204,6.667109017420297,440200
1995-08-17,1,6.734116554260254,6.734116554260254,6.600104284523732,6.633607351957862,410600
1995-08-18,1,6.566603660583496,6.734119060088178,6.53310058068256,6.734119060088178,598800
1995-08-21,3,6.499597549438477,6.6671129501972,6.499597549438477,6.600106789893711,440400
1995-08-22,1,6.432587146759033,6.566599378983179,6.365581030646959,6.533096320927142,444200
1995-08-23,1,6.332080364227295,6.466092647068084,6.198068081386506,6.466092647068084,193200
1995-08-24,1,6.231569766998291,6.332078956788586,6.19806670373486,6.332078956788586,1284000
1995-08-25,1,6.332080364227295,6.3990865056476895,6.131061939966111,6.231571152096703,733400
1995-08-28,3,6.231569766998291,6.332078956788586,6.164563640471427,6.332078956788586,447600
1995-08-29,1,6.131060600280762,6.231569790449299,6.064054473501737,6.231569790449299,368600
1995-08-30,1,6.1980695724487305,6.29857880875871,6.0640572573687574,6.0640572573687574,398000
